"Município";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"140020 Caracaraí";-;-;-;22283;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22283
"140023 Caroebe";-;-;-;10383;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10383
"140028 Iracema";-;-;-;12296;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12296
"140030 Mucajaí";-;-;-;18172;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18172
"140040 Normandia";-;-;-;11532;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11532
"140045 Pacaraima";-;-;-;18913;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18913
"140047 Rorainópolis";-;-;-;30782;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30782
"140050 São João da Baliza";-;-;-;8348;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8348
"140060 São Luiz";-;-;-;8110;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8110
"140070 Uiramutã";-;-;-;10789;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10789
"150010 Abaetetuba";-;-;-;-;159080;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;159080
"150013 Abel Figueiredo";-;-;-;-;7486;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7486
"150020 Acará";-;-;-;-;55669;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;55669
"150030 Afuá";-;-;-;-;39567;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;39567
"150034 Água Azul do Norte";-;-;-;-;27615;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27615
"150040 Alenquer";-;-;-;-;57092;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;57092
"150050 Almeirim";-;-;-;-;34076;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;34076
"150060 Altamira";-;-;-;-;115969;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;115969
"150070 Anajás";-;-;-;-;29688;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29688
"150080 Ananindeua";-;-;-;-;535547;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;535547
"150085 Anapu";-;-;-;-;28607;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28607
"150090 Augusto Corrêa";-;-;-;-;46471;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;46471
"150095 Aurora do Pará";-;-;-;-;31773;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31773
"150100 Aveiro";-;-;-;-;16404;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16404
"150110 Bagre";-;-;-;-;31325;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31325
"150120 Baião";-;-;-;-;48459;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;48459
"150125 Bannach";-;-;-;-;3262;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3262
"150130 Barcarena";-;-;-;-;127027;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;127027
"150140 Belém";-;-;-;-;1499641;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1499641
"150145 Belterra";-;-;-;-;17839;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17839
"150150 Benevides";-;-;-;-;63768;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;63768
"150157 Bom Jesus do Tocantins";-;-;-;-;17118;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17118
"150160 Bonito";-;-;-;-;16530;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16530
"150170 Bragança";-;-;-;-;128914;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;128914
"150172 Brasil Novo";-;-;-;-;14983;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14983
"150175 Brejo Grande do Araguaia";-;-;-;-;7368;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7368
"150178 Breu Branco";-;-;-;-;67332;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;67332
"150180 Breves";-;-;-;-;103497;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;103497
"150190 Bujaru";-;-;-;-;29427;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29427
"150200 Cachoeira do Arari";-;-;-;-;24064;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24064
"150195 Cachoeira do Piriá";-;-;-;-;34609;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;34609
"150210 Cametá";-;-;-;-;139364;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;139364
"150215 Canaã dos Carajás";-;-;-;-;38103;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;38103
"150220 Capanema";-;-;-;-;69431;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;69431
"150230 Capitão Poço";-;-;-;-;54425;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;54425
"150240 Castanhal";-;-;-;-;203251;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;203251
"150250 Chaves";-;-;-;-;23948;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23948
"150260 Colares";-;-;-;-;12131;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12131
"150270 Conceição do Araguaia";-;-;-;-;47991;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;47991
"150275 Concórdia do Pará";-;-;-;-;33781;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33781
"150276 Cumaru do Norte";-;-;-;-;13761;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13761
